SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC23D	Treatment	2	3	Clostridiaceae	0.001497987	2
CC24A	Treatment	2	0	Clostridiaceae	0.001117773	168
CC24B	Treatment	2	1	Clostridiaceae	0.000570994	1031
CC24D	Treatment	2	3	Clostridiaceae	0.001133484	41
CC01A	Control	1	0	Bacteroides	0.062739232	202
CC01B	Control	1	1	Bacteroides	0.049188985	30
CC01C	Control	1	2	Bacteroides	0.034919392	52
CC01D	Control	1	3	Bacteroides	0.070495218	28
CC02A	Control	1	0	Bacteroides	0.05206294	19
CC02B	Control	1	1	Bacteroides	0.068857512	10
CC02C	Control	1	2	Bacteroides	0.030567505	14
CC02D	Control	1	3	Bacteroides	0.03807947	26
CC03A	Control	1	0	Bacteroides	0.100475101	130
CC03B	Control	1	1	Bacteroides	0.036370216	452
CC03C	Control	1	2	Bacteroides	0.047214353	772
CC03D	Control	1	3	Bacteroides	0.054013939	1594
CC04A	Control	1	0	Bacteroides	0.148101601	17
CC04B	Control	1	1	Bacteroides	0.045126919	17
CC04C	Control	1	2	Bacteroides	0.081663991	24
CC04D	Control	1	3	Bacteroides	0.04870949	17
CC05A	Control	1	0	Bacteroides	0.055957124	30
CC05B	Control	1	1	Bacteroides	0.052028492	15
CC05C	Control	1	2	Bacteroides	0.034159596	414
CC05D	Control	1	3	Bacteroides	0.036278066	252
CC06C	Control	1	2	Bacteroides	0.036154888	9
CC06D	Control	1	3	Bacteroides	0.039113088	21
CC07A	Control	1	0	Bacteroides	0.077048291	24
CC07B	Control	1	1	Bacteroides	0.126313874	31
CC07C	Control	1	2	Bacteroides	0.029537694	22
CC07D	Control	1	3	Bacteroides	0.026335381	7
CC08A	Control	1	0	Bacteroides	0.087642535	158
CC08B	Control	1	1	Bacteroides	0.052072485	1665
CC08C	Control	1	2	Bacteroides	0.040175363	90
CC08D	Control	1	3	Bacteroides	0.040364583	170
CC09A	Control	1	0	Bacteroides	0.072472594	48
CC09B	Control	1	1	Bacteroides	0.034340402	732
CC09C	Control	1	2	Bacteroides	0.05489247	479
CC09D	Control	1	3	Bacteroides	0.038654147	12
CC10A	Control	1	0	Bacteroides	0.112940196	29
CC11A	Control	1	0	Bacteroides	0.086894789	650
CC11B	Control	1	1	Bacteroides	0.021913394	665
CC11C	Control	1	2	Bacteroides	0.038702644	1041
CC11D	Control	1	3	Bacteroides	0.048162119	927
CC12A	Control	1	0	Bacteroides	0.067481094	406
CC12B	Control	1	1	Bacteroides	0.061077844	705
CC12C	Control	1	2	Bacteroides	0.044559037	1210
CC12D	Control	1	3	Bacteroides	0.027184466	225
CC13A	Treatment	2	0	Bacteroides	0.031477733	239
CC13B	Treatment	2	1	Bacteroides	0.045066991	86
CC13C	Treatment	2	2	Bacteroides	0.021421675	708
CC13D	Treatment	2	3	Bacteroides	0.106928455	785
CC14A	Treatment	2	0	Bacteroides	0.132116866	22
CC14B	Treatment	2	1	Bacteroides	0.025592695	12
CC14C	Treatment	2	2	Bacteroides	0.039390585	20
CC14D	Treatment	2	3	Bacteroides	0.074962798	193
CC15A	Treatment	2	0	Bacteroides	0.077602288	7
CC15B	Treatment	2	1	Bacteroides	0.021343905	8
CC15C	Treatment	2	2	Bacteroides	0.022540397	24
CC15D	Treatment	2	3	Bacteroides	0.02911591	14
CC16A	Treatment	2	0	Bacteroides	0.10447519	21
CC16B	Treatment	2	1	Bacteroides	0.071284492	16
CC16C	Treatment	2	2	Bacteroides	0.026533997	6
CC16D	Treatment	2	3	Bacteroides	0.046001894	23
CC17A	Treatment	2	0	Bacteroides	0.101857895	13
CC17B	Treatment	2	1	Bacteroides	0.107421529	14
CC17C	Treatment	2	2	Bacteroides	0.063388946	35
CC17D	Treatment	2	3	Bacteroides	0.051282051	20
CC18A	Treatment	2	0	Bacteroides	0.175474476	9
CC18C	Treatment	2	2	Bacteroides	0.050980874	4
CC18D	Treatment	2	3	Bacteroides	0.061916391	17
CC19A	Treatment	2	0	Bacteroides	0.046822742	17
CC19B	Treatment	2	1	Bacteroides	0.048783987	10
CC19C	Treatment	2	2	Bacteroides	0.072390001	14
CC19D	Treatment	2	3	Bacteroides	0.128961268	27
CC20A	Treatment	2	0	Bacteroides	0.069138131	11
CC20B	Treatment	2	1	Bacteroides	0.045998895	17
CC20C	Treatment	2	2	Bacteroides	0.070722978	26
CC20D	Treatment	2	3	Bacteroides	0.071895072	19
CC21A	Treatment	2	0	Bacteroides	0.098726402	4
CC21B	Treatment	2	1	Bacteroides	0.033873343	8
CC21C	Treatment	2	2	Bacteroides	0.030715075	15
CC21D	Treatment	2	3	Bacteroides	0.044372814	12
CC22A	Treatment	2	0	Bacteroides	0.058571122	878
CC22B	Treatment	2	1	Bacteroides	0.051563075	126
CC22C	Treatment	2	2	Bacteroides	0.056763517	334
CC22D	Treatment	2	3	Bacteroides	0.062324779	876
CC23A	Treatment	2	0	Bacteroides	0.062239583	150
CC23B	Treatment	2	1	Bacteroides	0.072810874	811
CC23C	Treatment	2	2	Bacteroides	0.075081833	240
CC23D	Treatment	2	3	Bacteroides	0.082155229	1725
CC24A	Treatment	2	0	Bacteroides	0.078548928	16
CC24B	Treatment	2	1	Bacteroides	0.123271158	3
CC24D	Treatment	2	3	Bacteroides	0.069809308	22
CC01A	Control			Phascolarctobacterium	0.02842184	
CC01B	Control			Phascolarctobacterium	0.000301773	
CC01C	Control			Phascolarctobacterium	0.00026108	
CC01D	Control			Phascolarctobacterium	0.00307736	
CC02A	Control			Phascolarctobacterium	0.003879342	
CC02B	Control			Phascolarctobacterium	0.000248583	
CC02C	Control			Phascolarctobacterium	0.001819987	
CC02D	Control			Phascolarctobacterium	0.002128666	
CC03A	Control			Phascolarctobacterium	0.002991378	
CC03B	Control			Phascolarctobacterium	0.000180946	
CC03C	Control			Phascolarctobacterium	0.000283286	
CC03D	Control			Phascolarctobacterium	0.001032525	
CC04A	Control			Phascolarctobacterium	0.037108083	
CC04B	Control			Phascolarctobacterium	0.006267628	
CC04C	Control			Phascolarctobacterium	0.001326167	
CC04D	Control			Phascolarctobacterium	0.00187593	
CC05A	Control			Phascolarctobacterium	0.019569127	
CC05B	Control			Phascolarctobacterium	0.000516156	
CC05C	Control			Phascolarctobacterium	0.006709921	
CC05D	Control			Phascolarctobacterium	0.000196098	
CC06C	Control			Phascolarctobacterium	0.004884832	
CC06D	Control			Phascolarctobacterium	0.010824776	
CC07A	Control			Phascolarctobacterium	0.021432447	
CC07B	Control			Phascolarctobacterium	0.001456068	
CC07C	Control			Phascolarctobacterium	0.032897946	
CC07D	Control			Phascolarctobacterium	0.02810348	
CC08A	Control			Phascolarctobacterium	0.000132591	
CC08B	Control			Phascolarctobacterium	0.00062487	
CC08C	Control			Phascolarctobacterium	0.00021561	
CC08D	Control			Phascolarctobacterium	0.000744048	
CC09A	Control			Phascolarctobacterium	0.002566556	
CC09B	Control			Phascolarctobacterium	0.001838994	
CC09C	Control			Phascolarctobacterium	0.000770035	
CC09D	Control			Phascolarctobacterium	0.028325509	
CC10A	Control			Phascolarctobacterium	0.034798916	
CC11A	Control			Phascolarctobacterium	0.000425955	
CC11B	Control			Phascolarctobacterium	0.003383686	
CC11C	Control			Phascolarctobacterium	0.000454256	
CC11D	Control			Phascolarctobacterium	0.000350908	
CC12A	Control			Phascolarctobacterium	0.000465387	
CC12B	Control			Phascolarctobacterium	0.000460617	
CC12C	Control			Phascolarctobacterium	0.000264445	
CC12D	Control			Phascolarctobacterium	0.003463658	
CC13A	Treatment			Phascolarctobacterium	0.001619433	
CC13B	Treatment			Phascolarctobacterium	0.037880633	
CC13C	Treatment			Phascolarctobacterium	0.011163408	
CC13D	Treatment			Phascolarctobacterium	0.000776891	
CC14A	Treatment			Phascolarctobacterium	0.012414384	
CC14B	Treatment			Phascolarctobacterium	0.048085784	
CC14C	Treatment			Phascolarctobacterium	0.01673286	
CC14D	Treatment			Phascolarctobacterium	0.000520833	
CC15A	Treatment			Phascolarctobacterium	0.000186544	
CC15B	Treatment			Phascolarctobacterium	0.008409419	
CC15C	Treatment			Phascolarctobacterium	0.025158519	
CC15D	Treatment			Phascolarctobacterium	0.006367663	
CC16A	Treatment			Phascolarctobacterium	0.005883069	
CC16B	Treatment			Phascolarctobacterium	0.014644183	
CC16C	Treatment			Phascolarctobacterium	0.013082734	
CC16D	Treatment			Phascolarctobacterium	0.115500834	
CC17A	Treatment			Phascolarctobacterium	0.013966845	
CC17B	Treatment			Phascolarctobacterium	0.000221671	
CC17C	Treatment			Phascolarctobacterium	0.001033515	
CC17D	Treatment			Phascolarctobacterium	9.16E-05	
CC18A	Treatment			Phascolarctobacterium	0.09023233	
CC18C	Treatment			Phascolarctobacterium	0.024229752	
CC18D	Treatment			Phascolarctobacterium	0.028228703	
CC19A	Treatment			Phascolarctobacterium	0.001672241	
CC19B	Treatment			Phascolarctobacterium	0.02848124	
CC19C	Treatment			Phascolarctobacterium	0.001131094	
CC19D	Treatment			Phascolarctobacterium	0.000342332	
CC20A	Treatment			Phascolarctobacterium	0.002684272	
CC20B	Treatment			Phascolarctobacterium	0.009887613	
CC20C	Treatment			Phascolarctobacterium	0.009019327	
CC20D	Treatment			Phascolarctobacterium	0.020672532	
CC21A	Treatment			Phascolarctobacterium	0.034504561	
CC21B	Treatment			Phascolarctobacterium	0.000412371	
CC21C	Treatment			Phascolarctobacterium	0.000345113	
CC21D	Treatment			Phascolarctobacterium	0.001097318	
CC22A	Treatment			Phascolarctobacterium	0.046413502	
CC22B	Treatment			Phascolarctobacterium	0.000220669	
CC22C	Treatment			Phascolarctobacterium	0.000577256	
CC22D	Treatment			Phascolarctobacterium	0.000862627	
CC23A	Treatment			Phascolarctobacterium	0.000911458	
CC23B	Treatment			Phascolarctobacterium	0.02142388	
CC23C	Treatment			Phascolarctobacterium	0.000818331	
CC23D	Treatment			Phascolarctobacterium	9.36E-05	
CC24A	Treatment			Phascolarctobacterium	0.017376283	
CC24B	Treatment			Phascolarctobacterium	0.066489024	
CC24D	Treatment			Phascolarctobacterium	0.002733698	
CC01A	Control			Turicibacter	0.009019315	
CC01B	Control			Turicibacter	0.00256507	
CC01C	Control			Turicibacter	0.003655114	
CC01D	Control			Turicibacter	0.001467664	
CC02A	Control			Turicibacter	0.000688855	
CC02B	Control			Turicibacter	0.000546883	
CC02C	Control			Turicibacter	0.00062045	
CC02D	Control			Turicibacter	0.001466414	
CC03A	Control			Turicibacter	0.012053493	
CC03B	Control			Turicibacter	0.041527187	
CC03C	Control			Turicibacter	0.074126534	
CC03D	Control			Turicibacter	0.104543108	
CC04A	Control			Turicibacter	0.001190634	
CC04B	Control			Turicibacter	0.001096835	
CC04C	Control			Turicibacter	0.001814755	
CC04D	Control			Turicibacter	0.001229058	
CC05A	Control			Turicibacter	0.00112831	
CC05B	Control			Turicibacter	0.001548467	
CC05C	Control			Turicibacter	0.027006044	
CC05D	Control			Turicibacter	0.008432199	
CC06C	Control			Turicibacter	0.000356557	
CC06D	Control			Turicibacter	0.000719472	
CC07A	Control			Turicibacter	0.002170374	
CC07B	Control			Turicibacter	0.00150157	
CC07C	Control			Turicibacter	0.001300743	
CC07D	Control			Turicibacter	0.000651405	
CC08A	Control			Turicibacter	0.02094935	
CC08B	Control			Turicibacter	0.088731514	
CC08C	Control			Turicibacter	0.006612045	
CC08D	Control			Turicibacter	0.016462054	
CC09A	Control			Turicibacter	0.002175048	
CC09B	Control			Turicibacter	0.028560706	
CC09C	Control			Turicibacter	0.026786205	
CC09D	Control			Turicibacter	0.001017214	
CC10A	Control			Turicibacter	0.002222685	
CC11A	Control			Turicibacter	0.046500071	
CC11B	Control			Turicibacter	0.028439074	
CC11C	Control			Turicibacter	0.097210866	
CC11D	Control			Turicibacter	0.041451004	
CC12A	Control			Turicibacter	0.047353112	
CC12B	Control			Turicibacter	0.068079226	
CC12C	Control			Turicibacter	0.161708317	
CC12D	Control			Turicibacter	0.012070323	
CC13A	Treatment			Turicibacter	0.02611336	
CC13B	Treatment			Turicibacter	0.012423873	
CC13C	Treatment			Turicibacter	0.043326092	
CC13D	Treatment			Turicibacter	0.056430539	
CC14A	Treatment			Turicibacter	0.001337757	
CC14B	Treatment			Turicibacter	0.000712072	
CC14C	Treatment			Turicibacter	0.001367277	
CC14D	Treatment			Turicibacter	0.007589286	
CC15A	Treatment			Turicibacter	0.000435269	
CC15B	Treatment			Turicibacter	0.000360404	
CC15C	Treatment			Turicibacter	0.000981796	
CC15D	Treatment			Turicibacter	0.000645995	
CC16A	Treatment			Turicibacter	0.000973749	
CC16B	Treatment			Turicibacter	0.0007665	
CC16C	Treatment			Turicibacter	0.001105583	
CC16D	Treatment			Turicibacter	0.001217697	
CC17A	Treatment			Turicibacter	0.000565635	
CC17B	Treatment			Turicibacter	0.00075368	
CC17C	Treatment			Turicibacter	0.001919386	
CC17D	Treatment			Turicibacter	0.001831502	
CC18A	Treatment			Turicibacter	0.000899869	
CC18C	Treatment			Turicibacter	0.000307484	
CC18D	Treatment			Turicibacter	0.001364746	
CC19A	Treatment			Turicibacter	0.00094911	
CC19B	Treatment			Turicibacter	0.000717412	
CC19C	Treatment			Turicibacter	0.001922859	
CC19D	Treatment			Turicibacter	0.001369327	
CC20A	Treatment			Turicibacter	0.000870575	
CC20B	Treatment			Turicibacter	0.001044034	
CC20C	Treatment			Turicibacter	0.001037938	
CC20D	Treatment			Turicibacter	0.001079506	
CC21A	Treatment			Turicibacter	0.000361304	
CC21B	Treatment			Turicibacter	0.000471281	
CC21C	Treatment			Turicibacter	0.00131143	
CC21D	Treatment			Turicibacter	0.000822989	
CC22A	Treatment			Turicibacter	0.065722663	
CC22B	Treatment			Turicibacter	0.009562339	
CC22C	Treatment			Turicibacter	0.064460266	
CC22D	Treatment			Turicibacter	0.065272087	
CC23A	Treatment			Turicibacter	0.020703125	
CC23B	Treatment			Turicibacter	0.041837199	
CC23C	Treatment			Turicibacter	0.025981997	
CC23D	Treatment			Turicibacter	0.081546672	
CC24A	Treatment			Turicibacter	0.001829082	
CC24B	Treatment			Turicibacter	0.000190331	
CC24D	Treatment			Turicibacter	0.001733564	
CC01A	Control			Desulfovibrionaceae	8.80E-05	
CC01B	Control			Desulfovibrionaceae	0	
CC01C	Control			Desulfovibrionaceae	0.00019581	
CC01D	Control			Desulfovibrionaceae	0	
CC02A	Control			Desulfovibrionaceae	0	
CC02B	Control			Desulfovibrionaceae	0	
CC02C	Control			Desulfovibrionaceae	4.14E-05	
CC02D	Control			Desulfovibrionaceae	4.73E-05	
CC03A	Control			Desulfovibrionaceae	0	
CC03B	Control			Desulfovibrionaceae	0	
CC03C	Control			Desulfovibrionaceae	0	
CC03D	Control			Desulfovibrionaceae	0	
CC04A	Control			Desulfovibrionaceae	0.000198439	
CC04B	Control			Desulfovibrionaceae	0	
CC04C	Control			Desulfovibrionaceae	6.98E-05	
CC04D	Control			Desulfovibrionaceae	0	
CC05A	Control			Desulfovibrionaceae	0	
CC05B	Control			Desulfovibrionaceae	0	
CC05C	Control			Desulfovibrionaceae	0	
CC05D	Control			Desulfovibrionaceae	3.27E-05	
CC06C	Control			Desulfovibrionaceae	3.57E-05	
CC06D	Control			Desulfovibrionaceae	0	
CC07A	Control			Desulfovibrionaceae	0	
CC07B	Control			Desulfovibrionaceae	0	
CC07C	Control			Desulfovibrionaceae	0	
CC07D	Control			Desulfovibrionaceae	0	
CC08A	Control			Desulfovibrionaceae	0	
CC08B	Control			Desulfovibrionaceae	0	
CC08C	Control			Desulfovibrionaceae	7.19E-05	
CC08D	Control			Desulfovibrionaceae	0	
CC09A	Control			Desulfovibrionaceae	0	
CC09B	Control			Desulfovibrionaceae	3.75E-05	
CC09C	Control			Desulfovibrionaceae	0	
CC09D	Control			Desulfovibrionaceae	7.82E-05	
CC10A	Control			Desulfovibrionaceae	6.95E-05	
CC11A	Control			Desulfovibrionaceae	0	
CC11B	Control			Desulfovibrionaceae	0	
CC11C	Control			Desulfovibrionaceae	0	
CC11D	Control			Desulfovibrionaceae	0	
CC12A	Control			Desulfovibrionaceae	0	
CC12B	Control			Desulfovibrionaceae	0	
CC12C	Control			Desulfovibrionaceae	0	
CC12D	Control			Desulfovibrionaceae	0	
CC13A	Treatment			Desulfovibrionaceae	0	
CC13B	Treatment			Desulfovibrionaceae	0	
CC13C	Treatment			Desulfovibrionaceae	0	
CC13D	Treatment			Desulfovibrionaceae	7.06E-05	
CC14A	Treatment			Desulfovibrionaceae	0	
CC14B	Treatment			Desulfovibrionaceae	0	
CC14C	Treatment			Desulfovibrionaceae	0	
CC14D	Treatment			Desulfovibrionaceae	0	
CC15A	Treatment			Desulfovibrionaceae	0	
CC15B	Treatment			Desulfovibrionaceae	0	
CC15C	Treatment			Desulfovibrionaceae	0	
CC15D	Treatment			Desulfovibrionaceae	4.61E-05	
CC16A	Treatment			Desulfovibrionaceae	0	
CC16B	Treatment			Desulfovibrionaceae	0.000121026	
CC16C	Treatment			Desulfovibrionaceae	0	
CC16D	Treatment			Desulfovibrionaceae	0.000270599	
CC17A	Treatment			Desulfovibrionaceae	0.000174042	
CC17B	Treatment			Desulfovibrionaceae	0.000177336	
CC17C	Treatment			Desulfovibrionaceae	0	
CC17D	Treatment			Desulfovibrionaceae	0	
CC18A	Treatment			Desulfovibrionaceae	8.18E-05	
CC18C	Treatment			Desulfovibrionaceae	6.15E-05	
CC18D	Treatment			Desulfovibrionaceae	0	
CC19A	Treatment			Desulfovibrionaceae	0	
CC19B	Treatment			Desulfovibrionaceae	0	
CC19C	Treatment			Desulfovibrionaceae	0.000113109	
CC19D	Treatment			Desulfovibrionaceae	4.89E-05	
CC20A	Treatment			Desulfovibrionaceae	0	
CC20B	Treatment			Desulfovibrionaceae	6.14E-05	
CC20C	Treatment			Desulfovibrionaceae	0	
CC20D	Treatment			Desulfovibrionaceae	5.40E-05	
CC21A	Treatment			Desulfovibrionaceae	0.000180652	
CC21B	Treatment			Desulfovibrionaceae	5.89E-05	
CC21C	Treatment			Desulfovibrionaceae	0	
CC21D	Treatment			Desulfovibrionaceae	6.86E-05	
CC22A	Treatment			Desulfovibrionaceae	0.000143031	
CC22B	Treatment			Desulfovibrionaceae	0.000147113	
CC22C	Treatment			Desulfovibrionaceae	0	
CC22D	Treatment			Desulfovibrionaceae	7.19E-05	
CC23A	Treatment			Desulfovibrionaceae	0.000130208	
CC23B	Treatment			Desulfovibrionaceae	0.000151584	
CC23C	Treatment			Desulfovibrionaceae	0	
CC23D	Treatment			Desulfovibrionaceae	0	
CC24A	Treatment			Desulfovibrionaceae	0.000203231	
CC24B	Treatment			Desulfovibrionaceae	6.34E-05	
CC24D	Treatment			Desulfovibrionaceae	0	
