SampleID	Treatment	Treatment_no	Time	Species	Abundance	Count
CC09B	Control	1	1	Victivallaceae	3.75E-05	1
CC09C	Control	1	2	Victivallaceae	0	0
CC09D	Control	1	3	Victivallaceae	0.000625978	8
CC10A	Control	1	0	Victivallaceae	0	0
CC11A	Control	1	0	Victivallaceae	7.10E-05	0
CC11B	Control	1	1	Victivallaceae	8.06E-05	2
CC11C	Control	1	2	Victivallaceae	0	0
CC11D	Control	1	3	Victivallaceae	0	0
CC12A	Control	1	0	Victivallaceae	0	0
CC12B	Control	1	1	Victivallaceae	0	0
CC12C	Control	1	2	Victivallaceae	0	0
CC12D	Control	1	3	Victivallaceae	0.000157439	3
CC13A	Treatment	2	0	Victivallaceae	0	0
CC13B	Treatment	2	1	Victivallaceae	0	0
CC13C	Treatment	2	2	Victivallaceae	0.000181028	3
CC13D	Treatment	2	3	Victivallaceae	0.000141253	2
CC14A	Treatment	2	0	Victivallaceae	0.000214041	4
CC14B	Treatment	2	1	Victivallaceae	4.19E-05	1
CC14C	Treatment	2	2	Victivallaceae	0	0
CC14D	Treatment	2	3	Victivallaceae	7.44E-05	2
CC15A	Treatment	2	0	Victivallaceae	0	0
CC15B	Treatment	2	1	Victivallaceae	0.000120135	3
CC15C	Treatment	2	2	Victivallaceae	0.000204541	5
CC15D	Treatment	2	3	Victivallaceae	0.00055371	12
CC16A	Treatment	2	0	Victivallaceae	0	0
CC16B	Treatment	2	1	Victivallaceae	4.03E-05	1
CC16C	Treatment	2	2	Victivallaceae	0.000368528	2
CC16D	Treatment	2	3	Victivallaceae	0.000315699	7
CC17A	Treatment	2	0	Victivallaceae	0.000217552	4
CC17B	Treatment	2	1	Victivallaceae	0	0
CC17C	Treatment	2	2	Victivallaceae	0	0
CC17D	Treatment	2	3	Victivallaceae	0	0
CC18A	Treatment	2	0	Victivallaceae	0	0
CC18C	Treatment	2	2	Victivallaceae	0.000245987	4
CC18D	Treatment	2	3	Victivallaceae	7.18E-05	1
CC19A	Treatment	2	0	Victivallaceae	0	0
CC19B	Treatment	2	1	Victivallaceae	0.000215223	3
CC19C	Treatment	2	2	Victivallaceae	0.000339328	3
CC19D	Treatment	2	3	Victivallaceae	0	0
CC20A	Treatment	2	0	Victivallaceae	0	0
CC20B	Treatment	2	1	Victivallaceae	0	0
CC20C	Treatment	2	2	Victivallaceae	7.16E-05	1
CC20D	Treatment	2	3	Victivallaceae	5.40E-05	1
CC21A	Treatment	2	0	Victivallaceae	0.000180652	0
CC21B	Treatment	2	1	Victivallaceae	0.00011782	2
CC21C	Treatment	2	2	Victivallaceae	0.000414136	6
CC21D	Treatment	2	3	Victivallaceae	0	0
CC22A	Treatment	2	0	Victivallaceae	0	0
CC22B	Treatment	2	1	Victivallaceae	7.36E-05	1
CC22C	Treatment	2	2	Victivallaceae	0.002309024	12
CC22D	Treatment	2	3	Victivallaceae	0	0
CC23A	Treatment	2	0	Victivallaceae	0	0
CC23B	Treatment	2	1	Victivallaceae	0	0
CC23C	Treatment	2	2	Victivallaceae	0	0
CC23D	Treatment	2	3	Victivallaceae	0	0
